No	Venue12	Order12	Spot12	Venue34	Order34	Spot34
2C(16)	3C教室	1	2	3I教室	5	2
2C(17)	CoTan C1	1	2	3C教室	5	2
2C(18)	3D教室	1	2	3A教室	5	2
2C(20)	3E教室	1	2	3F教室	5	2
2C(21)	3A教室	1	2	CoTan C2	7	2
2C(22)						
2C(23)	3B教室	1	2	3D教室	7	2
2C(24)	3F教室	2	2	3B教室	7	2
2C(25)	3I教室	2	2	3I教室	6	2
2C(26)	3G教室	2	2	3C教室	6	2
2C(27)	総合C	2	2	3A教室	7	2
2C(30)	3H教室	2	2	3H教室	6	2
2C(31)	総合D	2	2	情報3	6	2
2C(33)	CoTan C5	3	2	総合C	5	2
2C(34)	情報3	3	2	CoTan C2	6	2
2C(35)	CoTan C2	2	2	CoTan C5	5	2
2C(36)	CoTan C4	2	2	3G教室	6	2
2C(37)	3C教室	2	2	総合D	6	2
2C(38)	CoTan C1	2	2	3D教室	6	2
2C(39)	3D教室	2	2	3B教室	6	2
2D(01)	3E教室	2	2	3H教室	5	3
2D(02)	3A教室	2	2	CoTan C1	6	3
2D(03)	3B教室	2	2	CoTan C5	7	2
2D(04)	3F教室	3	2	3G教室	5	3
2D(05)	3I教室	3	2	総合D	7	2
2D(06)	3G教室	3	2	3D教室	5	3
2D(07)	総合C	3	2	3B教室	5	3
2D(08)	3H教室	3	2	3I教室	4	3
2D(09)	総合D	3	2	3C教室	7	2
2D(10)	CoTan C5	1	3	3F教室	7	2
2D(11)	情報3	1	3	CoTan C1	7	2
2D(12)	CoTan C2	3	2	CoTan C4	5	2
2D(13)	CoTan C4	3	2	総合C	6	2
2D(14)	3C教室	3	2	CoTan C2	4	3
2D(15)	CoTan C1	3	2	CoTan C5	6	2
2D(16)						
2D(17)	3D教室	3	2	3G教室	7	2
2D(18)						
2D(19)	3E教室	3	2	3I教室	7	2
2D(20)	3A教室	3	2	情報3	5	3
2D(21)	3B教室	3	2	CoTan C4	7	2
2D(22)	3F教室	1	3	総合C	7	2
2D(23)	3I教室	1	3	CoTan C2	5	3
2D(24)	3G教室	1	3	CoTan C5	5	3
2D(25)	総合C	1	3	3G教室	6	3
2D(26)	3H教室	1	3	総合D	4	3
2D(27)	総合D	1	3	3D教室	6	3
2D(28)	CoTan C5	2	3	3H教室	7	2
2D(29)	情報3	2	3	情報3	7	2
2D(30)	CoTan C2	1	3	3E教室	6	2
2D(31)	CoTan C4	1	3	3F教室	5	3
2D(32)	3C教室	1	3	CoTan C1	5	3
2D(33)	CoTan C1	1	3	CoTan C4	6	2
2E(01)	3D教室	1	3	総合C	5	3
2E(02)	3E教室	1	3	総合D	6	3
2E(03)	3A教室	1	3	3C教室	7	3
2E(04)	3B教室	1	3	3E教室	5	3
2E(05)	3F教室	2	3	3F教室	7	3
2E(06)	3I教室	2	3	CoTan C1	4	4
2E(07)	3G教室	2	3	CoTan C4	5	3
2E(08)	総合C	2	3	総合C	6	3
2E(09)	3H教室	2	3	CoTan C2	7	3
2E(10)	総合D	2	3	CoTan C5	7	3
2E(11)	CoTan C5	3	3	3I教室	5	3
2E(12)	情報3	3	3	3C教室	5	3
2E(13)	CoTan C2	2	3	3A教室	5	3
2E(14)	CoTan C4	2	3	3H教室	6	3
2E(15)	3C教室	2	3	情報3	6	3
2E(16)	CoTan C1	2	3	3E教室	7	2
2E(17)	3D教室	2	3	3F教室	6	3
2E(18)	3E教室	2	3	CoTan C2	6	3
2E(19)	3A教室	2	3	3D教室	4	4
2E(20)	3B教室	2	3	3A教室	7	3
2E(21)	3F教室	3	3	3H教室	4	4
2E(22)						
2E(23)	3I教室	3	3	情報3	7	3
2E(24)	3G教室	3	3	3E教室	6	3
2E(25)	総合C	3	3	3F教室	5	4
2E(26)	3H教室	3	3	CoTan C1	5	4
2E(27)	総合D	3	3	CoTan C4	6	3
2E(28)	CoTan C5	1	4	総合D	5	3
2E(29)	情報3	1	4	3D教室	7	3
2E(30)	CoTan C2	3	3	3B教室	6	3
2E(31)	CoTan C4	3	3	3I教室	6	3
2E(32)	3C教室	3	3	3C教室	6	3
2E(33)	CoTan C1	3	3	3A教室	6	3
2E(34)	3D教室	3	3	3H教室	7	3
2E(35)	3E教室	3	3	CoTan C1	7	3
2E(36)	3A教室	3	3	CoTan C5	6	3
2E(37)	3B教室	3	3	3B教室	7	3
2E(38)	3F教室	1	4	3I教室	7	3
2E(39)	3I教室	1	4	3C教室	4	4
2E(40)	3G教室	1	4	3A教室	4	4
2E(41)	総合C	1	4	3H教室	5	4
2F(01)	3H教室	1	4	情報3	6	4
2F(02)	総合D	1	4	3E教室	5	4
2F(03)	CoTan C5	2	4	CoTan C2	4	4
2F(04)	情報3	2	4	CoTan C5	5	4
2F(05)	CoTan C2	2	4	3G教室	7	3
2F(06)	CoTan C4	1	4	総合D	7	3
2F(07)	CoTan C2	1	4	CoTan C4	7	3
2F(08)	3C教室	1	4	3D教室	5	4
2F(09)	CoTan C1	1	4	3B教室	4	4
2F(10)	3D教室	1	4	3I教室	4	4
2F(11)	3E教室	1	4	情報3	5	4
2F(12)	3A教室	1	4	CoTan C4	6	4
2F(13)	CoTan C2	1	4	CoTan C4	7	3
2F(14)	3B教室	1	4	3G教室	5	4
2F(15)	3F教室	2	4	総合D	5	4
2F(16)	3I教室	2	4	3D教室	6	4
2F(17)	3G教室	2	4	3B教室	5	4
2F(18)	総合C	2	4	3I教室	5	4
2F(19)	3H教室	2	4	3C教室	6	4
2F(20)	総合D	2	4	3A教室	5	4
2F(21)	CoTan C2	1	4	CoTan C4	7	3
2F(22)	CoTan C5	3	4	CoTan C1	6	4
2F(23)	情報3	3	4	CoTan C4	5	4
2F(24)	CoTan C2	3	4	総合C	7	3
2F(25)	CoTan C4	2	4	CoTan C2	5	4
2F(26)	3C教室	2	4	CoTan C5	6	4
2F(27)	CoTan C1	2	4	3G教室	4	4
2F(28)	3D教室	2	4	総合D	4	4
2F(29)	3E教室	2	4	3C教室	5	4
2F(30)	CoTan C2	1	4	CoTan C4	7	3
2F(31)	3A教室	2	4	3E教室	7	3
2F(32)	3B教室	2	4	総合C	5	4
2F(33)	3F教室	3	4	CoTan C2	6	4
2G(34)	CoTan C5	1	2	CoTan C1	5	2
2H(20)	情報3	1	2	3C教室	7	1
1A(01)	3I教室	4	1	CoTan C5	1	1
1A(02)	3G教室	4	1	3G教室	1	1
1A(03)	総合C	4	1	総合D	2	1
1A(04)	3H教室	4	1	3D教室	2	1
1A(05)	総合D	4	1	3B教室	2	1
1A(06)	CoTan C5	4	1	情報3	2	1
1A(07)	情報3	4	1	3E教室	1	1
1A(08)	情報3	7	1	3D教室	4	1
1A(09)	CoTan C2	4	1	3F教室	2	1
1A(10)	CoTan C4	5	1	CoTan C1	1	1
1A(11)	3D教室	4	1	情報3	1	1
1A(12)	3C教室	5	1	CoTan C4	1	1
1A(13)	CoTan C1	5	1	総合C	1	1
1A(14)						
1A(15)	CoTan C4	4	1	3B教室	1	1
1A(16)	3C教室	4	1	3F教室	1	1
1A(17)	3D教室	5	1	CoTan C2	1	1
1A(18)	CoTan C4	4	1	3B教室	1	1
1A(19)	CoTan C4	4	1	3B教室	1	1
1A(20)	CoTan C1	4	1	総合D	1	1
1A(21)	CoTan C1	4	1	総合D	1	1
1A(22)	3E教室	4	1	3D教室	1	1
1A(23)	3D教室	4	1	情報3	1	1
1A(24)	3A教室	4	1	3A教室	1	1
1A(25)	3B教室	4	1	3F教室	3	1
1A(26)	3F教室	4	1	CoTan C1	2	1
1A(27)	3B教室	3	4	3H教室	1	4
1A(28)	3I教室	5	1	CoTan C4	2	1
1A(29)	3G教室	5	1	総合C	2	1
1A(30)	総合C	5	1	CoTan C2	2	1
1A(31)	CoTan C1	4	1	総合D	1	1
1A(32)	3H教室	5	1	CoTan C5	2	1
1A(33)	総合D	5	1	3G教室	2	1
1A(34)	総合D	7	1	3A教室	1	2
1A(35)	3D教室	4	1	情報3	1	1
1A(36)	CoTan C5	5	1	3C教室	1	1
1B(01)	情報3	5	1	3A教室	3	1
1B(02)	3A教室	5	1	3A教室	2	1
1B(03)						
1B(04)	3F教室	5	1	3I教室	1	1
1B(05)	CoTan C2	5	1	3H教室	1	1
1B(06)	3E教室	5	1	CoTan C5	3	1
1B(07)	CoTan C4	6	1	情報3	3	1
1B(08)	3C教室	6	1	3E教室	2	1
1B(09)	CoTan C1	6	1	3F教室	4	1
1B(10)	3A教室	5	1	3A教室	2	1
1B(11)	3D教室	6	1	CoTan C1	3	1
1B(12)	3E教室	6	1	CoTan C5	4	1
1B(13)	3A教室	6	1	3B教室	4	1
1B(14)	3B教室	5	1	総合C	3	1
1B(15)	3B教室	6	1	3H教室	3	1
1B(16)	3F教室	6	1	情報3	4	1
1B(17)	3I教室	7	1	3E教室	3	1
1B(18)	3G教室	6	1	3F教室	1	2
1B(19)	総合C	6	1	CoTan C1	4	1
1B(20)	3H教室	6	1	CoTan C4	3	1
1B(21)	総合D	6	1	総合C	4	1
1B(22)	CoTan C5	6	1	3D教室	3	1
1B(23)	情報3	6	1	3B教室	3	1
1B(24)	3A教室	5	1	3A教室	2	1
1B(25)	CoTan C2	6	1	3I教室	2	1
1B(26)	CoTan C4	7	1	3C教室	2	1
1B(27)	3C教室	7	1	3A教室	4	1
1B(28)	CoTan C1	7	1	3H教室	2	1
1B(29)	3F教室	5	1	3I教室	1	1
1B(30)	3I教室	6	1	CoTan C2	3	1
1B(31)	3I教室	6	1	CoTan C2	3	1
1B(32)	3E教室	5	1	CoTan C5	3	1
1B(33)	3B教室	5	1	総合C	3	1
1C(01)	3G教室	7	1	情報3	2	2
1C(02)	3G教室	7	1	情報3	2	2
1C(03)	3D教室	7	1	情報3	3	2
1C(04)						
1C(05)	総合C	7	1	3D教室	1	2
1C(06)	総合C	7	1	3D教室	1	2
1C(07)	3C教室	4	1	3F教室	1	1
1C(08)	CoTan C5	7	1	情報3	1	2
1C(09)	3H教室	7	1	CoTan C4	4	1
1C(10)	3E教室	7	1	CoTan C4	1	2
1C(11)	3A教室	7	1	3G教室	4	1
1C(12)	3B教室	7	1	3I教室	4	1
1C(13)	3F教室	7	1	3C教室	4	1
1C(14)	3I教室	4	2	3A教室	2	2
1C(15)	3G教室	4	2	3H教室	4	1
1C(16)						
1C(17)	総合C	4	2	情報3	4	2
1C(18)	3H教室	7	1	CoTan C4	4	1
1C(19)	3H教室	4	2	3E教室	1	2
1C(20)	総合D	4	2	3F教室	2	2
1C(21)	総合D	7	1	3A教室	1	2
1C(22)	3H教室	7	1	CoTan C4	4	1
1C(23)	CoTan C5	7	1	情報3	1	2
1C(24)	情報3	7	1	3D教室	4	1
1C(25)	CoTan C5	4	2	CoTan C5	1	2
1C(26)	総合C	7	1	3D教室	1	2
1C(27)	情報3	4	2	3G教室	3	1
1C(28)	CoTan C2	7	1	総合D	3	1
1C(29)	CoTan C4	4	2	3D教室	2	2
1C(30)	3C教室	4	2	3B教室	1	2
1C(31)	総合D	7	1	3A教室	1	2
1C(32)	CoTan C5	7	1	情報3	1	2
1C(33)	CoTan C1	4	2	3I教室	3	1
1C(34)	3D教室	4	2	3C教室	3	1
1C(35)	3E教室	4	2	3E教室	4	1
1C(36)	3A教室	4	2	総合C	1	2
1C(37)	3B教室	4	2	総合D	4	1
1D(01)	CoTan C2	4	2	3E教室	2	2
1D(02)	3F教室	4	2	3D教室	4	2
1D(03)	3I教室	5	2	3B教室	2	2
1D(04)	3G教室	5	2	3I教室	1	2
1D(05)	3D教室	5	2	3C教室	1	2
1D(06)	CoTan C2	4	2	3E教室	2	2
1D(07)	CoTan C4	5	2	3G教室	1	2
1D(08)	総合C	5	2	3C教室	2	2
1D(09)	3H教室	5	2	3A教室	4	2
1D(10)	総合D	5	2	3H教室	2	2
1D(11)	CoTan C2	4	2	3E教室	2	2
1D(12)	CoTan C5	5	2	CoTan C4	2	2
1D(13)	3C教室	5	2	3H教室	1	2
1D(14)	情報3	5	2	総合C	2	2
1D(15)	CoTan C1	5	2	CoTan C2	4	1
1D(16)	CoTan C4	5	2	3G教室	1	2
1D(17)	CoTan C2	5	2	CoTan C2	1	2
1D(18)						
1D(19)	CoTan C4	6	2	CoTan C5	2	2
1D(20)	3C教室	6	2	3G教室	2	2
1D(21)						
1D(22)	CoTan C1	6	2	総合D	1	2
1D(23)	3D教室	6	2	3D教室	3	2
1D(24)	3E教室	5	2	3A教室	3	2
1D(25)	CoTan C1	5	2	CoTan C2	4	1
1D(26)						
1D(27)	3A教室	5	2	3F教室	3	2
1D(28)	3B教室	5	2	CoTan C2	2	2
1D(29)	CoTan C4	5	2	3G教室	1	2
1D(30)	3C教室	5	2	3H教室	1	2
1D(31)	総合D	7	2	3B教室	2	3
1D(32)	3F教室	5	2	CoTan C5	3	2
1D(33)	3D教室	5	2	3C教室	1	2
1E(01)	3I教室	7	2	3G教室	3	2
1E(02)	3G教室	6	2	総合D	3	2
1E(03)	3A教室	6	2	3B教室	3	2
1E(04)	総合C	6	2	3D教室	1	3
1E(05)	3F教室	6	2	総合D	2	2
1E(06)	3E教室	6	2	CoTan C4	3	2
1E(07)	3H教室	6	2	3B教室	1	3
1E(08)	総合D	6	2	3I教室	2	2
1E(09)	3A教室	6	2	3B教室	3	2
1E(10)	CoTan C5	6	2	3E教室	3	2
1E(11)	情報3	6	2	3F教室	1	3
1E(12)	3E教室	6	2	CoTan C4	3	2
1E(13)	CoTan C2	6	2	CoTan C1	2	2
1E(14)	3B教室	6	2	3F教室	4	2
1E(15)	3B教室	6	2	3F教室	4	2
1E(16)	3A教室	6	2	3B教室	3	2
1E(17)	3H教室	7	2	3E教室	4	2
1E(18)	3B教室	6	2	3F教室	4	2
1E(19)	CoTan C4	7	2	CoTan C4	4	2
1E(20)	3C教室	7	2	総合C	3	2
1E(21)	CoTan C1	7	2	CoTan C2	3	2
1E(22)	3F教室	6	2	総合D	2	2
1E(23)	3D教室	7	2	CoTan C5	4	2
1E(24)	3E教室	6	2	CoTan C4	3	2
1E(25)	3I教室	6	2	CoTan C1	1	2
1E(26)	3E教室	7	2	3B教室	4	2
1E(27)	3A教室	7	2	3H教室	3	2
1E(28)	3H教室	7	2	3E教室	4	2
1E(29)						
1E(30)	3B教室	7	2	CoTan C1	3	2
1E(31)	3F教室	7	2	CoTan C4	1	3
1E(32)	3I教室	4	3	総合C	4	2
1E(33)	3G教室	7	2	CoTan C2	4	2
1E(34)	3I教室	6	2	CoTan C1	1	2
1E(35)	総合C	7	2	CoTan C5	1	3
1E(36)						
1F(01)	3H教室	4	3	3G教室	1	3
1F(02)	総合D	4	3	総合D	4	2
1F(03)	CoTan C5	4	3	3A教室	1	3
1F(04)	情報3	4	3	3H教室	4	2
1F(05)	CoTan C2	7	2	情報3	1	3
1F(06)	CoTan C4	4	3	3E教室	1	3
1F(07)	3G教室	4	3	3C教室	4	2
1F(08)	3G教室	4	3	3C教室	4	2
1F(09)	CoTan C1	5	2	CoTan C2	4	1
1F(10)	3C教室	4	3	3F教室	2	3
1F(11)	CoTan C1	4	3	CoTan C1	4	2
1F(12)	3D教室	4	3	CoTan C4	2	3
1F(13)	3E教室	4	3	3G教室	4	2
1F(14)	3A教室	4	3	3I教室	3	2
1F(15)	総合C	4	3	CoTan C5	3	3
1F(16)	3B教室	4	3	情報3	2	3
1F(17)	3H教室	7	2	3E教室	4	2
1F(18)	3F教室	4	3	3E教室	2	3
1F(19)	3I教室	5	3	3F教室	3	3
1F(20)	情報3	7	2	CoTan C5	2	3
1F(21)	3G教室	5	3	CoTan C1	1	3
1F(22)	総合D	7	2	3B教室	2	3
1F(23)	総合C	5	3	CoTan C4	3	3
1F(24)	3H教室	5	3	総合C	1	3
1F(25)	CoTan C5	7	2	3C教室	3	2
1F(26)	総合C	4	3	CoTan C5	3	3
1F(27)	CoTan C5	7	2	3C教室	3	2
1F(28)						
1F(29)	総合D	5	3	CoTan C2	1	3
1F(30)	CoTan C5	5	3	3B教室	3	3
1F(31)	情報3	7	2	CoTan C5	2	3
1F(32)	情報3	7	2	CoTan C5	2	3
1F(33)	CoTan C5	7	2	3C教室	3	2
1G(01)	CoTan C2	4	3	3A教室	2	3
1G(02)	情報3	5	3	3I教室	1	3
1G(03)	CoTan C4	5	3	総合C	2	3
1G(04)	CoTan C2	4	3	3A教室	2	3
1G(05)	CoTan C2	5	3	3C教室	1	3
1G(06)	3C教室	5	3	3I教室	4	2
1G(07)	CoTan C4	6	3	3A教室	3	3
1G(08)	CoTan C4	5	3	総合C	2	3
1G(09)	3C教室	6	3	3H教室	1	3
1G(10)	CoTan C1	6	3	情報3	3	3
1G(11)	3E教室	5	3	3E教室	3	3
1G(12)	3D教室	6	3	3E教室	4	3
1G(13)	3B教室	3	4	3H教室	1	4
1G(14)	3E教室	6	3	総合C	3	3
1G(15)	3A教室	5	3	総合D	2	3
1G(16)	CoTan C1	5	3	CoTan C1	2	3
1G(17)	3B教室	5	3	3C教室	3	3
1G(18)	3F教室	5	3	3A教室	1	4
1G(19)	3I教室	6	3	3H教室	2	3
1G(20)	3G教室	6	3	情報3	4	3
1G(21)	総合C	6	3	3E教室	1	4
1G(22)	3H教室	6	3	3F教室	1	4
1G(23)	総合D	6	3	CoTan C1	3	3
1G(24)	CoTan C5	6	3	3G教室	2	3
1G(25)	3C教室	5	3	3I教室	4	2
1G(26)	情報3	6	3	総合D	1	3
1G(27)	CoTan C2	6	3	3D教室	3	3
1G(28)	3D教室	5	3	3D教室	2	3
1G(29)	CoTan C4	7	3	3B教室	4	3
1G(30)	3C教室	7	3	3I教室	2	3
1G(31)	CoTan C1	7	3	3C教室	2	3
1G(32)	3D教室	5	3	3D教室	2	3
1G(33)	3E教室	5	3	3E教室	3	3
1G(34)	3D教室	7	3	3A教室	4	3
1G(35)	3E教室	7	3	3F教室	4	3
1G(36)	3A教室	6	3	CoTan C2	2	3
1H(01)	3B教室	6	3	3D教室	1	4
1H(02)	3F教室	6	3	3B教室	2	4
1H(03)	3I教室	7	3	3I教室	3	3
1H(04)	3G教室	7	3	3C教室	4	3
1H(05)	総合C	7	3	3A教室	2	4
1H(06)	3H教室	7	3	3H教室	4	3
1H(07)	総合D	7	3	情報3	1	4
1H(08)	CoTan C5	7	3	総合C	4	3
1H(09)	情報3	7	3	CoTan C2	3	3
1H(10)	CoTan C2	7	3	CoTan C5	4	3
1H(11)	CoTan C4	3	4	3G教室	3	3
1H(12)	3C教室	3	4	総合D	3	3
1H(13)	CoTan C1	3	4	3D教室	4	3
1H(14)	3D教室	3	4	3B教室	1	4
1H(15)	3E教室	3	4	3H教室	3	3
1H(16)	3A教室	7	3	CoTan C1	1	4
1H(17)	3B教室	7	3	CoTan C5	2	4
1H(18)	3F教室	7	3	3G教室	1	4
1H(19)	3I教室	3	4	総合D	1	4
1H(20)	3G教室	3	4	3D教室	2	4
1H(21)	総合C	3	4	3B教室	3	4
1H(22)	3H教室	3	4	3I教室	1	4
1H(23)	総合D	3	4	3C教室	1	4
1H(24)	CoTan C5	4	4	3F教室	2	4
1H(25)	情報3	4	4	CoTan C1	4	3
1H(26)	CoTan C2	4	4	CoTan C4	4	3
1H(27)	CoTan C4	4	4	総合C	1	4
1H(28)	3C教室	4	4	CoTan C2	1	4
1H(29)	CoTan C1	4	4	CoTan C5	1	4
1H(30)	3D教室	4	4	3G教室	4	3
1I(01)	3E教室	4	4	3I教室	3	4
1I(02)	3A教室	4	4	情報3	4	4
1I(03)	3B教室	4	4	CoTan C4	2	4
1I(04)	3F教室	4	4	総合C	3	4
1I(05)	3I教室	4	4	CoTan C2	2	4
1I(06)	3G教室	4	4	CoTan C5	3	4
1I(07)	総合C	4	4	3G教室	3	4
1I(08)	3H教室	4	4	総合D	3	4
1I(09)	総合D	4	4	3D教室	3	4
1I(10)	CoTan C5	5	4	3H教室	2	4
1I(11)	情報3	5	4	情報3	2	4
1I(12)	CoTan C2	5	4	3E教室	2	4
1I(13)	CoTan C4	5	4	3F教室	3	4
1I(14)	3A教室	3	4	3G教室	2	4
1I(15)	3A教室	3	4	3G教室	2	4
1I(16)	3C教室	5	4	CoTan C1	2	4
1I(17)	CoTan C1	5	4	CoTan C4	1	4
1I(18)	3D教室	5	4	総合C	2	4
1I(19)	3E教室	5	4	総合D	2	4
1I(20)	3A教室	5	4	3C教室	3	4
1I(21)	3B教室	5	4	3E教室	4	4
1I(22)	3F教室	5	4	3F教室	4	4
1I(23)	3I教室	5	4	CoTan C1	3	4
1I(24)	3G教室	5	4	CoTan C4	3	4
1I(25)	総合C	5	4	総合C	4	4
1I(26)	3H教室	5	4	CoTan C2	3	4
1I(27)	総合D	5	4	CoTan C5	4	4
1I(28)	3B教室	3	4	3H教室	1	4
1I(29)				CoTan C4	4	4
1I(30)	CoTan C5	6	4	3I教室	2	4
1I(31)	情報3	6	4	3C教室	2	4
1I(32)	CoTan C2	6	4	3A教室	3	4
1I(33)	CoTan C4	6	4	3H教室	3	4
1I(34)	3C教室	6	4	情報3	3	4
1I(35)	CoTan C1	5	3	CoTan C1	2	3
1I(36)	CoTan C1	6	4	3E教室	3	4
