No	Venue1	Table1	Seat1	Venue2	Table2	Seat2	Venue3	Table3	Seat3	Venue4	Table4	Seat4
2D(20)	CoTan大教室			CoTan大教室			1-F	5	1	CoTan C2	6	1
2D(21)	1-F	5	1	CoTan C2	6	1	CoTan大教室			CoTan大教室		
2D(22)	CoTan大教室			CoTan大教室			1-G	5	1	1-A	6	1
2D(23)	1-G	5	1	1-A	6	1	CoTan大教室			CoTan大教室		
2D(25)	CoTan大教室			CoTan大教室			1-H	5	1	1-B	6	1
2D(26)	1-H	5	1	1-B	6	1	CoTan大教室			CoTan大教室		
2D(27)	CoTan大教室			CoTan大教室			1-I	5	1	1-C	6	1
2D(28)	1-I	5	1	1-C	6	1	CoTan大教室			CoTan大教室		
2D(29)	CoTan大教室			CoTan大教室			1-J	5	1	1-D	6	1
2D(30)	1-J	5	1	1-D	6	1	CoTan大教室			CoTan大教室		
2D(31)	CoTan大教室			CoTan大教室			CoTan C1	6	1	1-E	6	1
2D(32)	CoTan C1	6	1	1-E	6	1	CoTan大教室			CoTan大教室		
2D(33)	CoTan大教室			CoTan大教室			CoTan C2	6	1	CoTan C1	1	1
2E(02)	CoTan C2	6	1	CoTan C1	1	1	CoTan大教室			CoTan大教室		
2E(03)	CoTan大教室			CoTan大教室			1-A	6	1	CoTan C2	1	1
2E(04)	1-A	6	1	CoTan C2	1	1	CoTan大教室			CoTan大教室		
2E(05)	CoTan大教室			CoTan大教室			1-B	6	1	1-A	1	1
2E(06)	1-B	6	1	1-A	1	1	CoTan大教室			CoTan大教室		
2E(07)	CoTan大教室			CoTan大教室			1-C	6	1	1-B	1	1
2E(08)	1-C	6	1	1-B	1	1	CoTan大教室			CoTan大教室		
2E(09)	CoTan大教室			CoTan大教室			1-D	6	1	1-C	1	1
2E(11)	1-D	6	1	1-C	1	1	CoTan大教室			CoTan大教室		
2E(12)	CoTan大教室			CoTan大教室			1-E	6	1	1-D	1	1
2E(13)	1-E	6	1	1-D	1	1	CoTan大教室			CoTan大教室		
2E(14)	CoTan大教室			CoTan大教室			CoTan C1	1	2	1-D	1	2
2E(15)	CoTan C1	1	2	1-D	1	2	CoTan大教室			CoTan大教室		
2E(17)	CoTan大教室			CoTan大教室			CoTan C2	1	2	1-E	1	2
2E(18)	CoTan C2	1	2	1-E	1	2	CoTan大教室			CoTan大教室		
2E(20)	CoTan大教室			CoTan大教室			1-A	1	2	1-F	1	2
2E(21)	1-A	1	2	1-F	1	2	CoTan大教室			CoTan大教室		
2E(22)	CoTan大教室			CoTan大教室			1-B	1	2	1-G	1	2
2E(23)	1-B	1	2	1-G	1	2	CoTan大教室			CoTan大教室		
2E(24)	CoTan大教室			CoTan大教室			1-C	1	2	1-H	1	2
2E(25)	1-C	1	2	1-H	1	2	CoTan大教室			CoTan大教室		
2E(26)	CoTan大教室			CoTan大教室			1-D	1	2	1-I	1	2
2E(27)	1-D	1	2	1-I	1	2	CoTan大教室			CoTan大教室		
2E(28)	CoTan大教室			CoTan大教室			1-E	1	2	1-J	1	2
2E(30)	1-E	1	2	1-J	1	2	CoTan大教室			CoTan大教室		
2E(31)	CoTan大教室			CoTan大教室			1-F	1	2	CoTan C1	2	2
2E(32)	1-F	1	2	CoTan C1	2	2	CoTan大教室			CoTan大教室		
2E(34)	CoTan大教室			CoTan大教室			1-G	1	2	CoTan C2	2	2
2E(35)	1-G	1	2	CoTan C2	2	2	CoTan大教室			CoTan大教室		
2F(01)	CoTan大教室			CoTan大教室			1-H	1	2	1-A	2	2
2F(02)	1-H	1	2	1-A	2	2	CoTan大教室			CoTan大教室		
2F(03)	CoTan大教室			CoTan大教室			1-I	1	2	1-B	2	2
2F(04)	1-I	1	2	1-B	2	2	CoTan大教室			CoTan大教室		
2F(05)	CoTan大教室			CoTan大教室			1-J	1	2	1-C	2	2
2F(06)	1-J	1	2	1-C	2	2	CoTan大教室			CoTan大教室		
2F(07)	CoTan大教室			CoTan大教室			CoTan C1	2	2	1-D	2	2
2F(08)	CoTan C1	2	2	1-D	2	2	CoTan大教室			CoTan大教室		
2F(10)	CoTan大教室			CoTan大教室			CoTan C2	2	2	1-E	2	2
2F(11)	CoTan C2	2	2	1-E	2	2	CoTan大教室			CoTan大教室		
2F(12)	CoTan大教室			CoTan大教室			1-A	2	2	1-F	2	2
2F(14)	1-A	2	2	1-F	2	2	CoTan大教室			CoTan大教室		
2F(15)	CoTan大教室			CoTan大教室			1-B	2	2	1-G	2	2
2F(16)	1-B	2	2	1-G	2	2	CoTan大教室			CoTan大教室		
2F(17)	CoTan大教室			CoTan大教室			1-C	2	2	1-H	2	2
2F(18)	1-C	2	2	1-H	2	2	CoTan大教室			CoTan大教室		
2F(19)	CoTan大教室			CoTan大教室			1-D	2	2	1-I	2	2
2F(20)	1-D	2	2	1-I	2	2	CoTan大教室			CoTan大教室		
2F(21)	CoTan大教室			CoTan大教室			1-E	2	2	1-J	2	2
2F(22)	1-E	2	2	1-J	2	2	CoTan大教室			CoTan大教室		
2F(23)	CoTan大教室			CoTan大教室			1-F	2	2	CoTan C1	3	2
2F(24)	1-F	2	2	CoTan C1	3	2	CoTan大教室			CoTan大教室		
2F(25)	CoTan大教室			CoTan大教室			1-G	2	2	CoTan C2	3	2
2F(26)	1-G	2	2	CoTan C2	3	2	CoTan大教室			CoTan大教室		
2F(27)	CoTan大教室			CoTan大教室			1-H	2	2	1-A	3	2
2F(28)	1-H	2	2	1-A	3	2	CoTan大教室			CoTan大教室		
2F(29)	CoTan大教室			CoTan大教室			1-I	2	2	1-B	3	2
2F(30)	1-I	2	2	1-B	3	2	CoTan大教室			CoTan大教室		
2F(31)	CoTan大教室			CoTan大教室			1-J	2	2	1-C	3	2
2F(32)	1-J	2	2	1-C	3	2	CoTan大教室			CoTan大教室		
2F(33)	CoTan大教室			CoTan大教室			CoTan C1	3	2	1-D	3	2
2F(34)	CoTan C1	3	2	1-D	3	2	CoTan大教室			CoTan大教室		
1A(01)	CoTan大教室			CoTan大教室			CoTan C2	3	2	1-E	3	2
1A(02)	CoTan C2	3	2	1-E	3	2	CoTan大教室			CoTan大教室		
1A(03)	CoTan大教室			CoTan大教室			1-A	3	2	1-F	3	2
1A(05)	1-A	3	2	1-F	3	2	CoTan大教室			CoTan大教室		
1A(06)	CoTan大教室			CoTan大教室			1-B	3	2	1-G	3	2
1A(07)	1-B	3	2	1-G	3	2	CoTan大教室			CoTan大教室		
1A(08)	CoTan大教室			CoTan大教室			1-C	3	2	1-H	3	2
1A(09)	1-C	3	2	1-H	3	2	CoTan大教室			CoTan大教室		
1A(10)	CoTan大教室			CoTan大教室			1-D	3	2	1-I	3	2
1A(11)	1-D	3	2	1-I	3	2	CoTan大教室			CoTan大教室		
1A(13)	CoTan大教室			CoTan大教室			1-E	3	2	1-J	3	2
1A(14)	1-E	3	2	1-J	3	2	CoTan大教室			CoTan大教室		
1A(15)	CoTan大教室			CoTan大教室			1-F	3	2	CoTan C1	4	2
1A(16)	1-F	3	2	CoTan C1	4	2	CoTan大教室			CoTan大教室		
1A(17)	CoTan大教室			CoTan大教室			1-G	3	2	CoTan C2	4	2
1A(18)	1-G	3	2	CoTan C2	4	2	CoTan大教室			CoTan大教室		
1A(19)	CoTan大教室			CoTan大教室			1-H	3	2	1-A	4	2
1A(20)	1-H	3	2	1-A	4	2	CoTan大教室			CoTan大教室		
1A(21)	CoTan大教室			CoTan大教室			1-I	3	2	1-B	4	2
1A(23)	1-I	3	2	1-B	4	2	CoTan大教室			CoTan大教室		
1A(24)	CoTan大教室			CoTan大教室			1-J	3	2	1-C	4	2
1A(25)	1-J	3	2	1-C	4	2	CoTan大教室			CoTan大教室		
1A(26)	CoTan大教室			CoTan大教室			CoTan C1	4	2	1-D	4	2
1A(27)	CoTan C1	4	2	1-D	4	2	CoTan大教室			CoTan大教室		
1A(28)	CoTan大教室			CoTan大教室			CoTan C2	4	2	1-E	4	2
1A(29)	CoTan C2	4	2	1-E	4	2	CoTan大教室			CoTan大教室		
1A(30)	CoTan大教室			CoTan大教室			1-A	4	2	1-F	4	2
1A(31)	1-A	4	2	1-F	4	2	CoTan大教室			CoTan大教室		
1A(32)	CoTan大教室			CoTan大教室			1-B	4	2	1-G	4	2
1A(33)	1-B	4	2	1-G	4	2	CoTan大教室			CoTan大教室		
1A(34)	CoTan大教室			CoTan大教室			1-C	4	2	1-H	4	2
1A(35)	1-C	4	2	1-H	4	2	CoTan大教室			CoTan大教室		
1A(36)	CoTan大教室			CoTan大教室			1-D	4	2	1-I	4	2
1B(01)	1-D	4	2	1-I	4	2	CoTan大教室			CoTan大教室		
1B(02)	CoTan大教室			CoTan大教室			1-E	4	2	1-J	4	2
1B(03)	1-E	4	2	1-J	4	2	CoTan大教室			CoTan大教室		
1B(04)	CoTan大教室			CoTan大教室			1-F	4	2	CoTan C1	5	2
1B(05)	1-F	4	2	CoTan C1	5	2	CoTan大教室			CoTan大教室		
1B(06)	CoTan大教室			CoTan大教室			1-G	4	2	CoTan C2	5	2
1B(07)	1-G	4	2	CoTan C2	5	2	CoTan大教室			CoTan大教室		
1B(08)	CoTan大教室			CoTan大教室			1-H	4	2	1-A	5	2
1B(09)	1-H	4	2	1-A	5	2	CoTan大教室			CoTan大教室		
1B(10)	CoTan大教室			CoTan大教室			1-I	4	2	1-B	5	2
1B(12)	1-I	4	2	1-B	5	2	CoTan大教室			CoTan大教室		
1B(13)	CoTan大教室			CoTan大教室			1-J	4	2	1-C	5	2
1B(14)	1-J	4	2	1-C	5	2	CoTan大教室			CoTan大教室		
1B(15)	CoTan大教室			CoTan大教室			CoTan C1	5	2	1-D	5	2
1B(16)	CoTan C1	5	2	1-D	5	2	CoTan大教室			CoTan大教室		
1B(17)	CoTan大教室			CoTan大教室			CoTan C2	5	2	1-E	5	2
1B(18)	CoTan C2	5	2	1-E	5	2	CoTan大教室			CoTan大教室		
1B(19)	CoTan大教室			CoTan大教室			1-A	5	2	1-F	5	2
1B(20)	1-A	5	2	1-F	5	2	CoTan大教室			CoTan大教室		
1B(21)	CoTan大教室			CoTan大教室			1-B	5	2	1-G	5	2
1B(22)	1-B	5	2	1-G	5	2	CoTan大教室			CoTan大教室		
1B(23)	CoTan大教室			CoTan大教室			1-C	5	2	1-H	5	2
1B(24)	1-C	5	2	1-H	5	2	CoTan大教室			CoTan大教室		
1B(25)	CoTan大教室			CoTan大教室			1-D	5	2	1-I	5	2
1B(26)	1-D	5	2	1-I	5	2	CoTan大教室			CoTan大教室		
1B(27)	CoTan大教室			CoTan大教室			1-E	5	2	1-J	5	2
1B(28)	1-E	5	2	1-J	5	2	CoTan大教室			CoTan大教室		
1B(29)	CoTan大教室			CoTan大教室			1-F	5	2	CoTan C1	6	2
1B(30)	1-F	5	2	CoTan C1	6	2	CoTan大教室			CoTan大教室		
1B(31)	CoTan大教室			CoTan大教室			1-G	5	2	CoTan C2	6	2
1B(32)	1-G	5	2	CoTan C2	6	2	CoTan大教室			CoTan大教室		
1B(33)	CoTan大教室			CoTan大教室			1-H	5	2	1-A	6	2
1B(34)	1-H	5	2	1-A	6	2	CoTan大教室			CoTan大教室		
1B(35)	CoTan大教室			CoTan大教室			1-I	5	2	1-B	6	2
1B(36)	1-I	5	2	1-B	6	2	CoTan大教室			CoTan大教室		
1B(37)	CoTan大教室			CoTan大教室			1-J	5	2	1-C	6	2
1C(01)	1-J	5	2	1-C	6	2	CoTan大教室			CoTan大教室		
1C(02)	CoTan大教室			CoTan大教室			CoTan C1	6	2	1-D	6	2
1C(03)	CoTan C1	6	2	1-D	6	2	CoTan大教室			CoTan大教室		
1C(04)	CoTan大教室			CoTan大教室			CoTan C2	6	2	1-E	6	2
1C(05)	CoTan C2	6	2	1-E	6	2	CoTan大教室			CoTan大教室		
1C(06)	CoTan大教室			CoTan大教室			1-A	6	2	CoTan C1	1	2
1C(07)	1-A	6	2	CoTan C1	1	2	CoTan大教室			CoTan大教室		
1C(08)	CoTan大教室			CoTan大教室			1-B	6	2	CoTan C2	1	2
1C(09)	1-B	6	2	CoTan C2	1	2	CoTan大教室			CoTan大教室		
1C(10)	CoTan大教室			CoTan大教室			1-C	6	2	1-A	1	2
1C(11)	1-C	6	2	1-A	1	2	CoTan大教室			CoTan大教室		
1C(12)	CoTan大教室			CoTan大教室			1-D	6	2	1-B	1	2
1C(14)	1-D	6	2	1-B	1	2	CoTan大教室			CoTan大教室		
1C(15)	CoTan大教室			CoTan大教室			1-E	6	2	1-C	1	2
1C(16)	1-E	6	2	1-C	1	2	CoTan大教室			CoTan大教室		
1C(17)	CoTan大教室			CoTan大教室			CoTan C1	1	3	1-C	1	3
1C(18)	CoTan C1	1	3	1-C	1	3	CoTan大教室			CoTan大教室		
1C(19)	CoTan大教室			CoTan大教室			CoTan C2	1	3	1-D	1	3
1C(20)	CoTan C2	1	3	1-D	1	3	CoTan大教室			CoTan大教室		
1C(21)	CoTan大教室			CoTan大教室			1-A	1	3	1-E	1	3
1C(22)	1-A	1	3	1-E	1	3	CoTan大教室			CoTan大教室		
1C(23)	CoTan大教室			CoTan大教室			1-B	1	3	1-F	1	3
1C(24)	1-B	1	3	1-F	1	3	CoTan大教室			CoTan大教室		
1C(25)	CoTan大教室			CoTan大教室			1-C	1	3	1-G	1	3
1C(26)	1-C	1	3	1-G	1	3	CoTan大教室			CoTan大教室		
1C(27)	CoTan大教室			CoTan大教室			1-D	1	3	1-H	1	3
1C(28)	1-D	1	3	1-H	1	3	CoTan大教室			CoTan大教室		
1C(29)	CoTan大教室			CoTan大教室			1-E	1	3	1-I	1	3
1C(30)	1-E	1	3	1-I	1	3	CoTan大教室			CoTan大教室		
1C(31)	CoTan大教室			CoTan大教室			1-F	1	3	1-J	1	3
1C(32)	1-F	1	3	1-J	1	3	CoTan大教室			CoTan大教室		
1C(33)	CoTan大教室			CoTan大教室			1-G	1	3	CoTan C1	2	3
1C(34)	1-G	1	3	CoTan C1	2	3	CoTan大教室			CoTan大教室		
1C(35)	CoTan大教室			CoTan大教室			1-H	1	3	CoTan C2	2	3
1C(36)	1-H	1	3	CoTan C2	2	3	CoTan大教室			CoTan大教室		
1D(01)	CoTan大教室			CoTan大教室			1-I	1	3	1-A	2	3
1D(02)	1-I	1	3	1-A	2	3	CoTan大教室			CoTan大教室		
1D(03)	CoTan大教室			CoTan大教室			1-J	1	3	1-B	2	3
1D(04)	1-J	1	3	1-B	2	3	CoTan大教室			CoTan大教室		
1D(05)	CoTan大教室			CoTan大教室			CoTan C1	2	3	1-C	2	3
1D(06)	CoTan C1	2	3	1-C	2	3	CoTan大教室			CoTan大教室		
1D(07)	CoTan大教室			CoTan大教室			CoTan C2	2	3	1-D	2	3
1D(09)	CoTan C2	2	3	1-D	2	3	CoTan大教室			CoTan大教室		
1D(10)	CoTan大教室			CoTan大教室			1-A	2	3	1-E	2	3
1D(11)	1-A	2	3	1-E	2	3	CoTan大教室			CoTan大教室		
1D(12)	CoTan大教室			CoTan大教室			1-B	2	3	1-F	2	3
1D(13)	1-B	2	3	1-F	2	3	CoTan大教室			CoTan大教室		
1D(14)	CoTan大教室			CoTan大教室			1-C	2	3	1-G	2	3
1D(15)	1-C	2	3	1-G	2	3	CoTan大教室			CoTan大教室		
1D(16)	CoTan大教室			CoTan大教室			1-D	2	3	1-H	2	3
1D(17)	1-D	2	3	1-H	2	3	CoTan大教室			CoTan大教室		
1D(18)	CoTan大教室			CoTan大教室			1-E	2	3	1-I	2	3
1D(19)	1-E	2	3	1-I	2	3	CoTan大教室			CoTan大教室		
1D(20)	CoTan大教室			CoTan大教室			1-F	2	3	1-J	2	3
1D(21)	1-F	2	3	1-J	2	3	CoTan大教室			CoTan大教室		
1D(22)	CoTan大教室			CoTan大教室			1-G	2	3	CoTan C1	3	3
1D(23)	1-G	2	3	CoTan C1	3	3	CoTan大教室			CoTan大教室		
1D(24)	CoTan大教室			CoTan大教室			1-H	2	3	CoTan C2	3	3
1D(25)	1-H	2	3	CoTan C2	3	3	CoTan大教室			CoTan大教室		
1D(26)	CoTan大教室			CoTan大教室			1-I	2	3	1-A	3	3
1D(27)	1-I	2	3	1-A	3	3	CoTan大教室			CoTan大教室		
1D(29)	CoTan大教室			CoTan大教室			1-J	2	3	1-B	3	3
1D(30)	1-J	2	3	1-B	3	3	CoTan大教室			CoTan大教室		
1D(31)	CoTan大教室			CoTan大教室			CoTan C1	3	3	1-C	3	3
1D(32)	CoTan C1	3	3	1-C	3	3	CoTan大教室			CoTan大教室		
1D(33)	CoTan大教室			CoTan大教室			CoTan C2	3	3	1-D	3	3
1D(34)	CoTan C2	3	3	1-D	3	3	CoTan大教室			CoTan大教室		
1D(35)	CoTan大教室			CoTan大教室			1-A	3	3	1-E	3	3
1D(36)	1-A	3	3	1-E	3	3	CoTan大教室			CoTan大教室		
1D(37)	CoTan大教室			CoTan大教室			1-B	3	3	1-F	3	3
1E(01)	1-B	3	3	1-F	3	3	CoTan大教室			CoTan大教室		
1E(02)	CoTan大教室			CoTan大教室			1-C	3	3	1-G	3	3
1E(03)	1-C	3	3	1-G	3	3	CoTan大教室			CoTan大教室		
1E(04)	CoTan大教室			CoTan大教室			1-D	3	3	1-H	3	3
1E(05)	1-D	3	3	1-H	3	3	CoTan大教室			CoTan大教室		
1E(06)	CoTan大教室			CoTan大教室			1-E	3	3	1-I	3	3
1E(08)	1-E	3	3	1-I	3	3	CoTan大教室			CoTan大教室		
1E(09)	CoTan大教室			CoTan大教室			1-F	3	3	1-J	3	3
1E(10)	1-F	3	3	1-J	3	3	CoTan大教室			CoTan大教室		
1E(11)	CoTan大教室			CoTan大教室			1-G	3	3	CoTan C1	4	3
1E(12)	1-G	3	3	CoTan C1	4	3	CoTan大教室			CoTan大教室		
1E(13)	CoTan大教室			CoTan大教室			1-H	3	3	CoTan C2	4	3
1E(14)	1-H	3	3	CoTan C2	4	3	CoTan大教室			CoTan大教室		
1E(15)	CoTan大教室			CoTan大教室			1-I	3	3	1-A	4	3
1E(16)	1-I	3	3	1-A	4	3	CoTan大教室			CoTan大教室		
1E(17)	CoTan大教室			CoTan大教室			1-J	3	3	1-B	4	3
1E(18)	1-J	3	3	1-B	4	3	CoTan大教室			CoTan大教室		
1E(19)	CoTan大教室			CoTan大教室			CoTan C1	4	3	1-C	4	3
1E(20)	CoTan C1	4	3	1-C	4	3	CoTan大教室			CoTan大教室		
1E(21)	CoTan大教室			CoTan大教室			CoTan C2	4	3	1-D	4	3
1E(22)	CoTan C2	4	3	1-D	4	3	CoTan大教室			CoTan大教室		
1E(24)	CoTan大教室			CoTan大教室			1-A	4	3	1-E	4	3
1E(25)	1-A	4	3	1-E	4	3	CoTan大教室			CoTan大教室		
1E(26)	CoTan大教室			CoTan大教室			1-B	4	3	1-F	4	3
1E(27)	1-B	4	3	1-F	4	3	CoTan大教室			CoTan大教室		
1E(28)	CoTan大教室			CoTan大教室			1-C	4	3	1-G	4	3
1E(29)	1-C	4	3	1-G	4	3	CoTan大教室			CoTan大教室		
